productBase,variantSize,variantColor,variantImage
"WhatsApp Image 2026-01-20","233232","at","WhatsApp Image 2026-01-20 at 233232.jpeg"
"WhatsApp Image 2026-01-18 at","","15.38.25","WhatsApp Image 2026-01-18 at 15.38.25.jpeg"
"WhatsApp Image 2026-01-20 at","","17.22.37","WhatsApp Image 2026-01-20 at 17.22.37.jpeg"
"WhatsApp Image 2026-01-20","343434","at","WhatsApp Image 2026-01-20 at 343434.jpeg"
"WhatsApp Image 2026-01-20 at","","17.24.07","WhatsApp Image 2026-01-20 at 17.24.07.jpeg"
"WhatsApp Image 2026-01-20","233232","at","WhatsApp Image 2026-01-20 at 233232.jpeg"
"WhatsApp Image 2026-01-18 at","","15.41.38","WhatsApp Image 2026-01-18 at 15.41.38.jpeg"
"WhatsApp Image 2026-01-18 at","","15.42.06","WhatsApp Image 2026-01-18 at 15.42.06.jpeg"
"WhatsApp Image 2026-01-20 at","","17.22.10","WhatsApp Image 2026-01-20 at 17.22.10.jpeg"
"WhatsApp Image 2026-01-20","34343","at","WhatsApp Image 2026-01-20 at 34343.jpeg"
"WhatsApp Image 2026-01-20","43134","at","WhatsApp Image 2026-01-20 at 43134.jpeg"
"WhatsApp Image 2026-01-20","4343","at","WhatsApp Image 2026-01-20 at 4343.jpeg"
"WhatsApp Image 2026-01-18","132","at","WhatsApp Image 2026-01-18 at 132.jpeg"
"WhatsApp Image 2026-01-18 at","","15.37.18","WhatsApp Image 2026-01-18 at 15.37.18.jpeg"
"WhatsApp Image 2026-01-18","23232","at","WhatsApp Image 2026-01-18 at 23232.jpeg"
"WhatsApp Image 2026-01-18 at","","15.38.56","WhatsApp Image 2026-01-18 at 15.38.56.jpeg"
"WhatsApp Image 2026-01-18 at","","15.39.27","WhatsApp Image 2026-01-18 at 15.39.27.jpeg"
